open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,ticker
73.16,76.97,72.76,76.23,76.23,74014803.0,74014803.0,3.07,4.196,75.32,"May 19, 21",0.04196,AMD
76.81,78.27,76.25,78.06,78.06,49267415.0,49267415.0,1.25,1.627,77.52667,"May 20, 21",0.01627,AMD
78.55,78.81,77.04,77.17,77.17,40474396.0,40474396.0,-1.38,-1.757,77.67333,"May 21, 21",-0.01757,AMD
77.26,78.01,76.8,77.44,77.44,33359277.0,33359277.0,0.18,0.233,77.41667,"May 24, 21",0.00233,AMD
77.33,78.77,76.84,77.86,77.86,47619746.0,47619746.0,0.53,0.685,77.82333,"May 25, 21",0.00685,AMD
77.83,78.59,77.59,78.34,78.34,30371815.0,30371815.0,0.51,0.655,78.17333,"May 26, 21",0.00655,AMD
78.11,78.43,77.47,78.42,78.42,35832767.0,35832767.0,0.31,0.397,78.10667,"May 27, 21",0.00397,AMD
78.66,81.09,78.66,80.08,80.08,41223430.0,41223430.0,1.42,1.805,79.94333,"May 28, 21",0.01805,AMD
342.179993,355.019989,339.399994,355.019989,354.647156,18648000.0,18648000.0,12.84,3.752,349.81332,"May 29, 20",0.03752,NVDA
353.329987,353.630005,347.579987,352.25,351.880066,9746900.0,9746900.0,-1.07999,-0.306,351.15333,"June 01, 20",-0.00306,NVDA
351.850006,353.48999,346.320007,353.01001,352.639252,9783000.0,9783000.0,1.16,0.33,350.94,"June 02, 20",0.0033,NVDA
352.890015,354.649994,348.0,350.779999,350.411591,9136000.0,9136000.0,-2.11002,-0.598,351.14333,"June 03, 20",-0.00598,NVDA
349.119995,357.730011,347.100006,350.660004,350.451569,10607000.0,10607000.0,1.54001,0.441,351.83001,"June 04, 20",0.00441,NVDA
351.779999,359.880005,348.320007,356.799988,356.587921,12043700.0,12043700.0,5.01999,1.427,355.0,"June 05, 20",0.01427,NVDA
355.089996,355.589996,347.429993,352.200012,351.990692,9693400.0,9693400.0,-2.88998,-0.814,351.74,"June 08, 20",-0.00814,NVDA
352.0,364.390015,350.049988,361.839996,361.624939,11712200.0,11712200.0,9.84,2.795,358.76,"June 09, 20",0.02795,NVDA
366.709991,380.0,366.140015,374.670013,374.447327,15804500.0,15804500.0,7.96002,2.171,373.60334,"June 10, 20",0.02171,NVDA
366.0,370.450012,351.440002,351.850006,351.6409,14591300.0,14591300.0,-14.14999,-3.866,357.91334,"June 11, 20",-0.03866,NVDA
366.5,367.48999,348.130005,357.299988,357.087616,14252900.0,14252900.0,-9.20001,-2.51,357.63999,"June 12, 20",-0.0251,NVDA
352.609985,367.290009,349.75,366.950012,366.731934,10000100.0,10000100.0,14.34003,4.067,361.33001,"June 15, 20",0.04067,NVDA
369.0,370.670013,353.549988,362.73999,362.524414,13392900.0,13392900.0,-6.26001,-1.696,362.32,"June 16, 20",-0.01696,NVDA
364.549988,371.959991,362.809998,369.440002,369.220428,10188300.0,10188300.0,4.89001,1.341,368.07,"June 17, 20",0.01341,NVDA
369.079987,371.299988,364.579987,368.720001,368.500854,6360200.0,6360200.0,-0.35999,-0.098,368.19999,"June 18, 20",-0.00098,NVDA
369.700012,377.799988,369.089996,370.450012,370.229828,13104000.0,13104000.0,0.75,0.203,372.44667,"June 19, 20",0.00203,NVDA
372.0,381.25,370.929993,381.070007,380.843506,9961700.0,9961700.0,9.07001,2.438,377.75,"June 22, 20",0.02438,NVDA
382.040009,385.700012,376.299988,378.0,377.77533,9377700.0,9377700.0,-4.04001,-1.057,380.0,"June 23, 20",-0.01057,NVDA
379.049988,382.26001,365.779999,369.420013,369.200439,11234300.0,11234300.0,-9.62998,-2.541,372.48667,"June 24, 20",-0.02541,NVDA
374.230011,380.200012,367.290009,379.600006,379.37439,9401800.0,9401800.0,5.37,1.435,375.69668,"June 25, 20",0.01435,NVDA
380.0,380.0,365.0,366.200012,365.982361,14802100.0,14802100.0,-13.79999,-3.632,370.4,"June 26, 20",-0.03632,NVDA
366.790009,368.179993,356.0,368.0,367.781281,8556200.0,8556200.0,1.20999,0.33,364.06,"June 29, 20",0.0033,NVDA
372.559998,381.049988,370.660004,379.910004,379.684204,9197300.0,9197300.0,7.35001,1.973,377.20667,"June 30, 20",0.01973,NVDA
380.829987,383.029999,376.519989,381.200012,380.97345,8166200.0,8166200.0,0.37002,0.097,380.25,"July 01, 20",0.00097,NVDA
385.559998,389.5,383.130005,384.48999,384.261475,9101400.0,9101400.0,-1.07001,-0.278,385.70667,"July 02, 20",-0.00278,NVDA
389.670013,396.350006,388.5,393.570007,393.33609,7897300.0,7897300.0,3.89999,1.001,392.80667,"July 06, 20",0.01001,NVDA
397.850006,402.799988,394.029999,394.869995,394.635315,8945000.0,8945000.0,-2.98001,-0.749,397.23333,"July 07, 20",-0.00749,NVDA
399.75,409.0,398.619995,408.640015,408.397125,9137000.0,9137000.0,8.89002,2.224,405.42,"July 08, 20",0.02224,NVDA
415.209991,422.799988,409.339996,420.359985,420.110138,12363700.0,12363700.0,5.14999,1.24,417.49999,"July 09, 20",0.0124,NVDA
423.549988,426.209991,415.149994,419.170013,418.920898,12441900.0,12441900.0,-4.37998,-1.034,420.17667,"July 10, 20",-0.01034,NVDA
423.799988,431.690002,401.0,402.089996,401.851013,11426900.0,11426900.0,-21.70999,-5.123,411.59333,"July 13, 20",-0.05123,NVDA
403.0,416.109985,391.420013,415.079987,414.833282,13566900.0,13566900.0,12.07999,2.998,407.53666,"July 14, 20",0.02998,NVDA
416.570007,417.320007,402.230011,409.089996,408.846863,10073400.0,10073400.0,-7.48001,-1.796,409.54667,"July 15, 20",-0.01796,NVDA
400.600006,408.269989,395.820007,405.390015,405.149078,8624100.0,8624100.0,4.79001,1.196,403.16,"July 16, 20",0.01196,NVDA
409.019989,409.940002,403.51001,408.059998,407.817474,6657100.0,6657100.0,-0.95999,-0.235,407.17,"July 17, 20",-0.00235,NVDA
410.970001,421.25,406.269989,420.429993,420.180084,7121300.0,7121300.0,9.45999,2.302,415.98333,"July 20, 20",0.02302,NVDA
420.519989,422.399994,411.470001,413.140015,412.89447,6941700.0,6941700.0,-7.37997,-1.755,415.67,"July 21, 20",-0.01755,NVDA
414.700012,424.100006,411.660004,417.549988,417.301819,9182300.0,9182300.0,2.84998,0.687,417.77,"July 22, 20",0.00687,NVDA
418.0,421.880005,401.25,405.190002,404.949188,10291500.0,10291500.0,-12.81,-3.065,409.44,"July 23, 20",-0.03065,NVDA
