date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,ticker
2015-10-31,4728.00000,536.00000,425.00000,93.00000,,5834.00000,477.00000,,790.00000,73.00000,1340.00000,7174.00000,855.00000,1417.00000,437.00000,1854.00000,2709.00000,1.00000,4204.00000,2.00000,,4465.00000,7174.00000,NVDA
2015-07-31,4505.00000,514.00000,441.00000,89.00000,,5608.00000,497.00000,,808.00000,66.00000,1371.00000,6979.00000,936.00000,1411.00000,447.00000,1858.00000,2794.00000,1.00000,4010.00000,1.00000,,4185.00000,6979.00000,NVDA
2015-04-30,4792.00000,455.00000,438.00000,89.00000,,5832.00000,547.00000,,823.00000,89.00000,1459.00000,7291.00000,883.00000,1404.00000,448.00000,1852.00000,2735.00000,1.00000,4037.00000,8.00000,,4556.00000,7291.00000,NVDA
2015-01-31,4623.00000,474.00000,483.00000,70.00000,,5713.00000,557.00000,,840.00000,91.00000,1488.00000,7201.00000,896.00000,1398.00000,489.00000,1887.00000,2783.00000,1.00000,3949.00000,8.00000,,4418.00000,7201.00000,NVDA
2014-10-31,4240.79700,563.40000,408.08100,67.33300,,5341.10900,566.60100,,884.48000,93.67900,1544.76000,6885.86900,933.90700,1392.23600,355.13300,1747.36900,2681.27600,0.75200,3801.96600,9.76100,,4204.59300,6885.86900,NVDA
2014-07-31,4386.05400,469.62500,387.43400,67.77600,,5377.58600,556.91100,,903.79200,95.43000,1556.13300,6933.71900,868.72900,1386.09100,374.11300,1760.20400,2628.93300,0.74400,3675.07100,4.37800,,4304.78600,6933.71900,NVDA
2014-04-30,4347.81700,396.43800,393.28000,71.06700,,5273.79800,570.80200,,920.70900,99.35400,1590.86500,6864.66300,897.94500,1379.95900,419.77400,1799.73300,2697.67800,0.74300,3594.52700,6.36400,,4166.98500,6864.66300,NVDA
2014-01-31,4671.81000,426.35700,387.76500,70.28500,,5624.71100,582.74000,,939.19100,104.25200,1626.18300,7250.89400,945.49600,1373.87500,475.12500,1849.00000,2794.49600,0.73200,3504.74200,4.87700,,4456.39800,7250.89400,NVDA
2013-10-31,3032.95400,447.63100,380.31900,81.70100,,4049.84100,595.41800,,963.76800,102.34600,1661.53200,5711.37300,985.92700,17.01500,387.78400,404.79900,1390.72600,0.73200,3406.15400,5.86200,,4320.64700,5711.37300,NVDA
2013-07-31,2935.89300,418.12300,378.28000,81.87600,,3922.60800,578.94800,,963.55000,104.48600,1646.98400,5569.59200,935.79100,17.68500,443.94300,461.62800,1397.41900,0.72600,3330.81500,5.89700,,4172.17300,5569.59200,NVDA
2013-04-30,3713.35100,346.99800,377.59700,62.33400,,4606.61600,588.02300,,977.76310,107.12500,1672.91100,6279.52700,925.57700,18.33300,510.68100,529.01400,1454.59100,0.72500,3277.71300,10.29300,,4824.93600,6279.52700,NVDA
2013-01-31,3727.88300,454.25200,412.46700,76.92000,,4775.25800,576.14400,,953.36210,107.48100,1636.98700,6412.24500,976.22300,18.99800,589.32100,608.31900,1584.54200,0.72000,3246.08800,9.98100,,4827.70300,6412.24500,NVDA
2012-10-31,3434.77200,444.94400,428.98300,66.19700,,4424.82700,566.54000,,972.27800,111.49900,1650.31700,6075.14400,991.35900,19.62700,341.31200,360.93900,1352.29800,0.71900,3118.98100,10.86000,,4722.84600,6075.14400,NVDA
2012-07-31,3278.10000,445.31200,387.18500,53.32300,,4213.85100,574.05600,,987.96800,116.00600,1678.03000,5891.88100,1021.96000,20.23700,396.01900,416.25600,1438.21600,0.71300,2909.90100,11.15900,,4453.66500,5891.88100,NVDA
2012-04-30,3130.81200,411.15500,342.70700,97.51100,,4032.11600,553.54100,,1004.42500,118.08500,1676.05100,5708.16700,947.40400,20.83000,452.50500,473.33500,1420.73900,0.70700,2790.85500,10.44700,,4287.42800,5708.16700,NVDA
2012-01-31,3129.57600,336.14300,340.29700,49.41100,,3905.35800,560.07200,,967.16600,120.33200,1647.57000,5552.92800,929.95800,21.43900,455.80700,477.24600,1407.20400,0.70000,2730.41800,10.61400,,4145.72400,5552.92800,NVDA
2011-10-31,2748.35400,371.26100,319.60200,34.57300,,3500.07100,551.75700,,990.89200,46.32300,1588.97200,5089.04300,886.68400,21.94900,206.96000,228.90900,1115.59300,0.69800,2614.39300,8.99700,,3973.45000,5089.04300,NVDA
2011-07-31,2474.49600,419.94400,361.91100,34.92500,,3317.55700,550.89600,,951.64900,44.32200,1546.86700,4864.42400,960.29900,22.49300,192.16300,214.65600,1174.95500,0.69100,2436.12000,14.43400,,3689.46900,4864.42400,NVDA
